sid,"nazov"
1,"Budova pre obchod a služby"
2,"Byt"
3,"Bytový dom"
4,"Garáž"
5,"Chmeľnica"
6,"Iné stavby"
7,"Lesný pozemok"
8,"Nebytový priestor"
9,"Orná pôda"
10,"Ostatná plocha"
11,"Ovocný sad"
12,"Priemyselná budova a sklad"
13,"Rodinný dom"
14,"Rozostavané stavby"
15,"Skladový priestor"
16,"Stavba na individuálnu rekreáciu"
17,"Stavebný pozemok"
18,"Trvalý trávnatý porast"
19,"Vinica"
20,"Vodná plocha"
21,"Záhrada"
22,"Iné"



