sid,"nazov"
1,"SKK"
2,"AUD"
3,"EUR"
4,"CZK"
5,"DKK"
6,"GBP"
7,"HUF"
8,"CHF"
9,"JPY"
10,"NOK"
11,"PLN"
12,"SEK"
13,"USD"



