sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
838,20,756,"poslanec miestneho zastupiteľstva mestskej časti Bratislava - Staré Mesto","2006","","OKS v rámci koalície SDKÚ-DS - OKS - DU - SZ"
839,20,756,"poslanec miestneho zastupiteľstva mestskej časti Bratislava - Staré Mesto","2002","2006","OKS v rámci koalície KDH - DU - OKS"
840,353,757,"poslanec Mestského zastupiteľstva Trnava","2002","","DS, SDKU-DS+KDH"
841,339,365,"bez verejnej funkcie","","","Sloboda a solidarita"
955,121,850,"bez verejnej funkcie","","","Sloboda a Solidarita"
948,384,843,"žiadna","","","žiadnu"
947,384,842,"žiadna","","","žiadnu"
846,339,760,"bez verejnej funkcie","","","Sloboda a solidarita"
847,346,761,"poslanec NR SR","1993","2002","HZDS"
848,346,761,"starosta mestskej časti Bratislava-Petržalka","1994","2005","Demokratická únia, neskôr nezáviský"
849,346,761,"poslanec Bratislavského samosprávneho kraja","2001","2005","Demokratická únia"
850,346,761,"predseda Bratislavského samosprávneho kraja","2005","","nezávislý"
851,90,762,"kandidát na poslanca KSK","2009",""," Sloboda a Solidarita"
854,78,765,"Bez verejnej funkcie","","","Hnutie Vpred - nečlen strany, kandidát na poslanca zastupiteľstva Bratislavského samosprávneho kraja v roku 2005"
855,353,766,"poslanec Mestského zastupiteľstva Trnava","2002","","DS, SDKU-DS+KDH"
856,63,767,"nezastávam žiadnu politickú funkciu","","","SaS"
858,113,769,"bez verejnej funkcie","","","SaS"
859,113,770,"bez verejnej funkcie","","","SaS"
860,229,771,"kandidát za poslanca VUC","","","strana SAS"
861,142,772,"Žiadna","","","SaS"
862,223,773,"žiadna","","","žiadna"
863,84,774,"Bez verejnej funkcie","","","SaS"
865,237,263,"kandidát za poslanca VÚC","","","SaS"
867,363,777,"poslanec NR SR","2006","","SDKÚ-DS"
868,174,778,"bez verejnej funkcie","","","SaS"
869,340,366,"bez verejnej funkcie","","","SaS"
870,340,366,"bez politickej príslušnosti","","","SaS"
871,363,779,"poslanec NR SR","2006","","SDKÚ-DS"
872,364,780,"starosta MČ Košice Staré mesto","1994","2006","NEKA"
873,340,781,"bez verejnej funkcie","","","SaS"
874,340,781,"bez politickej príslušnosti","","","SaS"
875,205,782,"kandidát za poslanca VÚC","","","Sloboda a Solidarita"
876,237,783,"kandidát za poslanca VÚC","","","SaS"
877,241,784,"bez verejnej funkcie","","","SaS"
878,223,785,"žiadna","","","žiadna"
879,113,786,"bez verejnej funkcie","","","SaS"
880,113,787,"bez verejnej funkcie","","","SaS"
881,367,788,"bez verejnej funkcie","","","KDH"
882,295,321,"poslanec","","","SaS"
883,295,789,"poslanec","","","SaS"
884,264,790,"bez verejnej funkcie","","","SaS nečlen"
885,298,791,"kandidát na poslanca VUC","","","Sloboda a Solidarita"
886,130,157,"bez verejnej funkcie","","","Sloboda a Solidarita"
887,130,793,"bez verejnej funkcie","","","Sloboda a Solidarita"
888,130,793,"bez verejnej funkcie","","","Sloboda a Solidarita"
889,368,792,"poslanec Mestského zastupiteľstva","2006","","KDH"
890,368,794,"poslanec Mestského zastupiteľstva","2006","","KDH"
891,218,795,"bez verejnej funkcie","","","SaS"
892,296,322,"žiadna","","","SaS"
893,300,326,"bez verejnej funkcie","","","nie"
894,298,796,"kandidát na poslanca VUC","","","Sloboda a Solidarita"
895,199,225,"nie","","","nie"
896,233,797,"žiadna","","","SaS"
897,296,798,"žiadna","","","SaS"
898,300,799,"bez verejnej funkcie","","","nie"
899,199,800,"nie","","","nie"
900,275,301,"BEZ","2009","","Sloboda a Solidarita"
902,275,801,"okresná vedúca","2009","","Sloboda a Solidarita"
903,275,802,"BEZ","2009","","Sloboda a Solidarita"
904,287,803,"beze verejnej funkcie","","","SaS"
951,67,846,"nemám politickú funkciu","","","Sloboda a Solidarita"
907,213,239,"bez verejnej funkcie","","","strana Sloboda a Solidarita"
908,213,239,"bez verejnej funkcie","","","strana Sloboda a Solidarita"
909,220,246,"bez politickej príslušnosti a bez verejnej funkcie","","","SaS - sympatizant"
910,213,806,"bez verejnej funkcie","","","strana Sloboda a Solidarita"
911,213,806,"bez verejnej funkcie","","","strana Sloboda a Solidarita"
912,220,807,"bez politickej príslušnosti a bez verejnej funkcie","","","SaS - sympatizant"
913,370,808,"kandidát na poslanca do BSK","2009","","MOST-HID"
915,372,811,"poslankyňa MsZ","2006","","KDH, SDKÚ-DS"
917,372,813,"poslankyňa MsZ","2006","","KDH, SDKÚ-DS"
918,174,814,"bez verejnej funkcie","","","SaS"
919,370,815,"kandidát na poslanca do BSK","2009","","MOST-HID"
920,367,816,"bez verejnej funkcie","","","KDH"
921,112,817,"člen Republikovej rady","2009","","SaS"
922,375,818,"sympatizant","2009","","nie"
923,375,819,"sympatizant","2009","","nie"
924,86,820,"bez verejnej funkcie","2009","","Sloboda a Solidarita"
925,378,821,"bez verejnej funkcie","","","KDS"
926,378,822,"bez verejnej funkcie","","","KDS"
927,300,824,"bez verejnej funkcie","","","nie"
928,379,825,"člen strany","2009","","KDS"
929,377,823,"bez verejnej funkcie","","","KDS"
930,377,826,"bez verejnej funkcie","","","KDS"
931,380,827,"bez verejnej funkcie","","","Konzervatívny Demokrati Slovenska"
932,380,828,"bez verejnej funkcie","","","Konzervatívny Demokrati Slovenska"
933,380,829,"bez verejnej funkcie","","","Konzervatívny Demokrati Slovenska"
934,195,830," vmswäopvmäop","2009","","k cak äako"
935,195,831," vmswäopvmäop","2009","","k cak äako"
938,95,833,"člen SaS","","","SaS"



