sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
468,325,522,"bez verejnej funkcie","","","nezávislý kandidát"
469,91,523,"žiadna","2009","","Sloboda a Solidarita"
470,114,524,"zakladajúci člen","2009","","SaS"
471,113,525,"bez verejnej funkcie","","","SaS"
472,290,316,"nemám","","","s podporou SaS"
473,290,526,"nemám","","","s podporou SaS"
474,103,130,"člen strany","2009","","SaS"
475,103,527,"člen strany","2009","","SaS"
476,98,528,"bez verejnej funkcie","","","SaS"
477,152,179,"bez verejnej funkcie","","","nekandidoval"
478,152,179,"bez verejnej funkcie","","","nekandidoval"
479,155,182,"sympatizant","2009","","SAS"
480,155,529,"sympatizant","2009","","SAS"
940,351,835,"Bez verejnej funkcie.","","","OKS, MOST,"
483,351,531,"Okresný predseda MOST - HÍD.","2009","2009","2006 - OKS, 2009 - MOST - HÍD, "
485,328,533,"bez verejnej funjcie","","2009","SaS"
486,328,354,"Poslanec Obecného zastupiteľstva Hruštín","2006","","Nezávislý kandidát"
487,328,534,"Poslanec Obecného zastupiteľstva Hruštín","2006","","Nezávislý kandidát"
488,328,534,"Poslanec Obecného zastupiteľstva Hruštín","2006","","Nezávislý kandidát"
489,72,100,"Bez verejnej funkcie","2009","","Nekandidoval"
490,72,535,"Bez verejnej funkcie","2009","","Nekandidoval"
491,297,323,"žiadna","","","SaS"
492,266,292,"Kandidát do mestského zastupiteľstva","2002","2002","Sociálnodemokratická alternatíva"
493,266,536,"Kandidát do mestského zaatupiteľstva","2002","2002","Sociálnodemokratická alternatíva"
494,266,537,"Kandidát do mestského zaatupiteľstva","2002","2002","Sociálnodemokratická alternatíva"
495,297,538,"žiadna","","","SaS"
496,266,539,"Kandidát do mestského zastupiteľstva","2002","2002","Sociálnodemokratická alternatíva"
497,118,145,"zakladajúci člen","","","Sas"
498,118,540,"zakladajúci člen","","","Sas"
499,62,75,"poslankyňa / Bratislavský samosprávny kraj","2009","2009","Strana zelených (SZ)"
500,62,541,"kandidátka do Európskeho parlamnetu","2009","2009","Strana zelených (SZ)"
501,62,541,"poslankyňa / Bratislavský samosprávny kraj","2009","2009","Strana zelených (SZ)"
502,131,158,"bez verejnej funkcie","","","SaS"
503,267,293,"bez funkcie","","","SaS"
504,252,278,"bez verejnej funkcie","","","Sloboda a solidarita"
505,131,542,"bez verejnej funkcie","","","SaS"
506,131,543,"bez verejnej funkcie","","","SaS"
507,131,544,"bez verejnej funkcie","","","SaS"
508,85,112,"žiadna","","","SaS"
510,85,545,"žiadna","","","SaS"
511,85,546,"žiadna","","","SaS"
512,235,261,"člen","2009","","SaS"
513,235,547,"člen","2009","","SaS"
514,99,548,"bez verejnej funkcie","","","Sloboda a Solidarita"
515,99,549,"bez verejnej funkcie","","","Sloboda a Solidarita"
516,99,550,"bez verejnej funkcie","","","Sloboda a Solidarita"
517,147,174,"žiadna","2009","","žiadne"
518,147,551,"žiadna","2009","","žiadne"
519,290,552,"nemám","","","s podporou SaS"
520,87,114,"bez verejnej funkcie","","","SaS"
521,239,265,"bez verejnej funkcie","2009","","SaS"
523,87,553,"bez verejnej funkcie","","","SaS"
950,81,845,"člen republikovej rady SaS","2009","","Hnutie Vpred - nečlen strany, kandidát na poslanca zastupiteľstva Bratislavského samosprávneho kraja v roku 2005 "
