"sid","uzivatel_sid","verejny_cinnitel_sid","str_strana","str_funkcia_strana","str_funkcne_obdobie_od","str_funkcne_obdobie_do","poznamky","str_nazov"
571,150,177,"SaS","","","",NULL,"Sloboda a Solidarita"
572,223,249,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
573,364,606,"SDKÚ-DS","člen",2000,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
574,364,606,"SDKÚ-DS","člen",2000,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
575,228,607,"Nečlen","","","","","Nie som členom žiadnej strany"
576,150,608,"SaS","","","","","Sloboda a Solidarita"
577,309,335,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
578,309,609,"Nečlen","","","","","Nie som členom žiadnej strany"
579,309,610,"Nečlen","","","","","Nie som členom žiadnej strany"
580,222,611,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
581,357,612,"SMK-MKP","člen rebulikovej rady SMK",2007,"","","Strana maďarskej koalície - Magyar Koalíció Pártja"
582,224,613,"Nečlen","",2006,"","","Nie som členom žiadnej strany"
583,318,344,"SaS","","","",NULL,"Sloboda a Solidarita"
584,318,614,"SaS","","","","","Sloboda a Solidarita"
585,90,117,"SaS","okresný reprezentant ",2009,"",NULL,"Sloboda a Solidarita"
586,321,615,"Nečlen","","","","","Nie som členom žiadnej strany"
587,241,616,"Nečlen","","","","","Nie som členom žiadnej strany"
588,205,617,"Nečlen","","","","","Nie som členom žiadnej strany"
589,90,618,"SaS","okresný reprezentant ",2009,"","","Sloboda a Solidarita"
590,171,619,"ODÚ","člen",1992,1992,"","Občianska demokratická únia"
591,338,364,"SaS","sympatizant strany","","",NULL,"Sloboda a Solidarita"
592,338,620,"SaS","sympatizant strany","","","","Sloboda a Solidarita"
594,348,622,"SDKÚ-DS","predseda regionálneho zväzu",2008,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
595,348,623,"SDKÚ-DS","predseda regionálneho zväzu",2008,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
596,294,624,"Nečlen","","","","","Nie som členom žiadnej strany"
597,294,624,"Nečlen","","","","","Nie som členom žiadnej strany"
598,205,625,"Nečlen","","","","","Nie som členom žiadnej strany"
600,214,240,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
914,351,835,"Nečlen","","","","","Nie som členom žiadnej strany"
603,81,108,"SaS","člen republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
604,201,227,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
913,360,834,"SZ","člen strany",2008,"",NULL,"Strana zelených"
608,298,324,"NEKA","","","",NULL,"Nezávislý kandidát"
610,201,629,"Nečlen","","","","","Nie som členom žiadnej strany"
611,82,109,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
613,334,360,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
614,89,630,"SaS","","","","","Sloboda a Solidarita"
615,287,631,"SaS","","","","","Sloboda a Solidarita"
617,153,632,"NEKA","","","","","Nezávislý kandidát"
618,283,633,"SaS","sympatizant",2008,"","","Sloboda a Solidarita"
619,89,634,"SaS","člen",2009,"","","Sloboda a Solidarita"
620,82,635,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
621,88,115,"SaS","člen","","",NULL,"Sloboda a Solidarita"
622,283,636,"SaS","sympatizant",2008,"","","Sloboda a Solidarita"
623,81,637,"SaS","člen republikovej rady",2009,"","","Sloboda a Solidarita"
624,214,638,"Nečlen","","","","","Nie som členom žiadnej strany"
625,329,639,"SaS","sympatizant","","","","Sloboda a Solidarita"
626,329,640,"SaS","sympatizant","","","","Sloboda a Solidarita"
627,214,641,"Nečlen","","","","","Nie som členom žiadnej strany"
628,88,642,"SaS","člen","","","","Sloboda a Solidarita"
630,107,134,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
631,88,644,"SaS","člen","","","","Sloboda a Solidarita"
632,233,259,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
633,227,253,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
634,334,645,"Nečlen","","","","","Nie som členom žiadnej strany"
635,264,290,"SNS","člen strany",1995,1999,NULL,"Slovenská národná strana"
636,227,646,"Nečlen","","","","","Nie som členom žiadnej strany"
637,234,260,"SaS","","","",NULL,"Sloboda a Solidarita"
